Camera 1,2024-04-0901-45-44,Fire
Camera 1,2024-04-0901-45-45,Fire
Camera 1,2024-04-0901-46-00,Smoke
Camera 2,2024-04-0901-46-00,Smoke
Camera 2,2024-04-0901-46-00,Smoke
